date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;expansion_level;retracement_level
2023-09-18;1.06715;1.06593;1.06706;1.06622;1.06692;1.0669;False;1.06986;1.0668;1.06971;1.0669;1.06866;True;False;True;False;True;True;True;2023-09-18 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;True;11:45:00;10:45:00;1.06986;1.06682;True;True;11:30 - 12:00;10:30 - 11:00;4.3;0.7
2023-09-19;1.06967;1.06823;1.0694;1.0685;1.06896;1.0686;False;1.06928;1.0676;1.06924;1.0677;1.06805;False;True;False;True;True;True;True;;2023-09-19 11:20:00-04:00;11:20:00;11:00 - 11:30;False;True;True;15:20:00;13:35:00;1.0676;1.06918;True;True;15:00 - 15:30;13:30 - 14:00;-1.0;0.7
2023-09-20;1.07272;1.07035;1.07241;1.07052;1.07052;1.07177;True;1.07368;1.06576;1.07367;1.06585;1.06585;True;True;True;True;True;False;False;2023-09-20 12:20:00-04:00;2023-09-20 14:00:00-04:00;12:20:00;12:00 - 12:30;True;False;False;12:30:00;12:25:00;1.07368;1.07299;False;False;12:30 - 13:00;12:00 - 12:30;1.6;1.3
2023-09-21;1.06655;1.06376;1.06621;1.06402;1.06536;1.06621;True;1.06736;1.06545;1.0673;1.06557;1.06592;True;False;True;False;True;True;True;2023-09-21 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;False;10:40:00;10:40:00;1.06736;1.06643;True;False;10:30 - 11:00;10:30 - 11:00;1.5;1.1
2023-09-22;1.06671;1.06419;1.0666;1.06435;1.06485;1.06656;True;1.06717;1.06392;1.0671;1.06398;1.06435;True;True;True;True;True;False;False;2023-09-22 10:35:00-04:00;2023-09-22 14:35:00-04:00;10:35:00;10:30 - 11:00;True;False;False;10:40:00;10:40:00;1.0671;1.06664;True;False;10:30 - 11:00;10:30 - 11:00;1.2;1.0
2023-09-25;1.0611;1.05783;1.06106;1.05828;1.06106;1.05846;False;1.05988;1.05751;1.0598;1.05773;1.05928;False;True;False;True;True;True;True;;2023-09-25 10:50:00-04:00;10:50:00;10:30 - 11:00;False;True;False;10:55:00;10:55:00;1.05751;1.05796;True;False;10:30 - 11:00;10:30 - 11:00;-0.2;-0.1
2023-09-26;1.05986;1.05841;1.0594;1.0586;1.0594;1.05881;False;1.05922;1.0562;1.05881;1.05624;1.05701;False;True;False;True;True;True;True;;2023-09-26 10:45:00-04:00;10:45:00;10:30 - 11:00;False;True;True;14:35:00;10:55:00;1.0562;1.05847;True;False;14:30 - 15:00;10:30 - 11:00;-3.0;-0.1
2023-09-27;1.05331;1.05097;1.05302;1.05104;1.05302;1.0518;False;1.05239;1.04881;1.05229;1.04889;1.05058;False;True;False;True;True;True;True;;2023-09-27 10:55:00-04:00;10:55:00;10:30 - 11:00;False;True;True;14:20:00;11:30:00;1.04881;1.05239;True;True;14:00 - 14:30;11:30 - 12:00;-1.1;0.6
2023-09-28;1.05586;1.05358;1.05581;1.05373;1.05459;1.05558;True;1.05788;1.05455;1.05786;1.05504;1.05642;True;False;True;False;True;True;True;2023-09-28 10:45:00-04:00;;10:45:00;10:30 - 11:00;True;True;True;11:40:00;11:10:00;1.05788;1.05581;True;False;11:30 - 12:00;11:00 - 11:30;1.9;1.0
2023-09-29;1.05897;1.05698;1.05872;1.05707;1.05865;1.05718;False;1.05928;1.05638;1.05885;1.05649;1.05723;True;True;False;True;True;True;False;;2023-09-29 13:05:00-04:00;13:05:00;13:00 - 13:30;False;True;False;14:15:00;13:40:00;1.05638;1.05725;True;True;14:00 - 14:30;13:30 - 14:00;-0.4;0.1
2023-10-02;1.05274;1.04977;1.05247;1.04986;1.0523;1.05112;False;1.05128;1.04806;1.05112;1.04809;1.04809;False;True;False;True;True;True;True;;2023-10-02 10:40:00-04:00;10:40:00;10:30 - 11:00;False;True;True;15:55:00;11:20:00;1.04806;1.05126;True;True;15:30 - 16:00;11:00 - 11:30;-0.6;0.5
2023-10-03;1.04857;1.04494;1.04835;1.04545;1.04699;1.04662;False;1.04826;1.04482;1.04802;1.04499;1.04713;False;True;False;False;False;False;True;;;;No breakout;False;True;False;10:40:00;10:30:00;1.04826;1.04639;True;True;10:30 - 11:00;10:30 - 11:00;0.9;0.3
2023-10-04;1.05176;1.0483;1.05168;1.04845;1.05154;1.04845;False;1.05218;1.04845;1.05201;1.04845;1.05153;True;False;True;False;True;True;True;2023-10-04 11:45:00-04:00;;11:45:00;11:30 - 12:00;True;True;False;12:30:00;12:00:00;1.05218;1.05136;True;True;12:30 - 13:00;12:00 - 12:30;1.1;0.9
2023-10-05;1.05332;1.05125;1.05277;1.05151;1.05276;1.05277;True;1.05516;1.0517;1.05509;1.05185;1.05495;True;False;True;False;True;True;True;2023-10-05 11:35:00-04:00;;11:35:00;11:30 - 12:00;True;True;True;14:55:00;11:50:00;1.05516;1.05239;True;True;14:30 - 15:00;11:30 - 12:00;2.8;0.6
2023-10-06;1.05344;1.05012;1.05334;1.05031;1.05109;1.05334;True;1.06;1.05334;1.05984;1.05334;1.05897;True;False;True;False;True;True;True;2023-10-06 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;True;11:40:00;10:55:00;1.06;1.05359;False;False;11:30 - 12:00;10:30 - 11:00;3.1;1.0
2023-10-09;1.05577;1.05437;1.05534;1.05453;1.05464;1.05481;True;1.05702;1.05345;1.05694;1.05353;1.05691;True;True;True;True;True;False;False;2023-10-09 13:40:00-04:00;2023-10-09 10:45:00-04:00;10:45:00;10:30 - 11:00;False;False;False;12:55:00;11:10:00;1.05345;1.05529;True;True;12:30 - 13:00;11:00 - 11:30;-1.3;0.9
2023-10-10;1.06064;1.05855;1.06045;1.05879;1.05919;1.0603;True;1.06197;1.05889;1.06183;1.05904;1.06047;True;False;True;False;True;True;True;2023-10-10 11:30:00-04:00;;11:30:00;11:30 - 12:00;True;True;False;12:00:00;11:35:00;1.06197;1.06046;True;False;12:00 - 12:30;11:30 - 12:00;1.9;1.0
2023-10-11;1.06347;1.06112;1.06316;1.06121;1.06182;1.06243;True;1.06294;1.05845;1.0628;1.05858;1.06124;False;True;False;True;True;True;True;;2023-10-11 12:00:00-04:00;12:00:00;12:00 - 12:30;False;True;False;13:45:00;12:10:00;1.05845;1.06128;True;True;13:30 - 14:00;12:00 - 12:30;-1.4;0.0
2023-10-12;1.05734;1.05471;1.05723;1.05495;1.05723;1.05525;False;1.05609;1.05256;1.05595;1.05267;1.05308;False;True;False;True;True;True;True;;2023-10-12 11:45:00-04:00;11:45:00;11:30 - 12:00;False;True;True;14:55:00;12:05:00;1.05256;1.05609;True;True;14:30 - 15:00;12:00 - 12:30;-1.0;0.5
