date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;expansion_level;retracement_level
2023-09-18;1.23929;1.2373;1.23921;1.23762;1.23921;1.23784;False;1.24047;1.2374;1.24025;1.2375;1.23818;11:50:00;11:50:00;True;False;True;False;True;True;True;2023-09-18 11:25:00-04:00;;11:25:00;11:00 - 11:30;True;True;False;11:50:00;11:30:00;1.24047;1.23924;True;False;11:30 - 12:00;11:30 - 12:00;0.9;0.2;1.5;0.0;0.4;1.5;0.9
2023-09-19;1.24065;1.23876;1.24041;1.23896;1.23994;1.23901;False;1.24045;1.2382;1.24035;1.23837;1.23954;10:45:00;10:55:00;False;True;False;True;True;True;True;;2023-09-19 11:20:00-04:00;11:20:00;11:00 - 11:30;False;True;False;11:25:00;11:25:00;1.2382;1.23889;True;False;11:00 - 11:30;11:00 - 11:30;0.6;0.1;0.8;-0.2;0.4;-0.2;0.0
2023-09-20;1.24093;1.23822;1.24048;1.23847;1.23847;1.24026;True;1.24214;1.23383;1.24196;1.23396;1.23396;12:40:00;12:45:00;True;True;True;True;True;False;False;2023-09-20 12:25:00-04:00;2023-09-20 14:00:00-04:00;12:25:00;12:00 - 12:30;True;False;False;12:40:00;12:30:00;1.24214;1.24128;False;False;12:30 - 13:00;12:30 - 13:00;0.0;0.7;1.4;-1.6;-1.5;1.4;1.1
2023-09-21;1.22939;1.22572;1.22881;1.22619;1.22793;1.22875;True;1.23073;1.22815;1.23054;1.2283;1.22924;13:30:00;13:25:00;True;False;True;False;True;True;True;2023-09-21 10:35:00-04:00;;10:35:00;10:30 - 11:00;True;True;False;13:30:00;10:50:00;1.23073;1.22815;True;True;13:30 - 14:00;10:30 - 11:00;0.6;0.8;1.3;0.6;0.9;1.3;0.6
2023-09-22;1.22848;1.22523;1.2284;1.22541;1.22588;1.22767;True;1.22831;1.22304;1.22817;1.22322;1.22387;10:35:00;10:35:00;False;True;False;True;True;True;True;;2023-09-22 12:55:00-04:00;12:55:00;12:30 - 13:00;False;True;True;14:40:00;13:15:00;1.22304;1.22591;True;True;14:30 - 15:00;13:00 - 13:30;0.2;0.7;0.9;-0.6;-0.4;-0.6;0.2
2023-09-25;1.22187;1.21947;1.2215;1.21998;1.22113;1.21998;False;1.22221;1.21936;1.22216;1.21968;1.22113;14:20:00;14:10:00;True;True;True;False;True;True;False;2023-09-25 13:15:00-04:00;;13:15:00;13:00 - 13:30;True;True;False;14:20:00;13:45:00;1.22221;1.22119;True;True;14:00 - 14:30;13:30 - 14:00;0.6;0.2;1.1;0.0;0.6;1.1;0.7
2023-09-26;1.2192;1.21716;1.2188;1.21749;1.21856;1.21756;False;1.21824;1.21539;1.21769;1.21551;1.21556;10:35:00;10:35:00;False;True;False;True;True;True;True;;2023-09-26 10:50:00-04:00;10:50:00;10:30 - 11:00;False;True;True;14:35:00;13:10:00;1.21539;1.2176;True;True;14:30 - 15:00;13:00 - 13:30;0.6;0.1;0.5;-0.8;-0.7;-0.8;0.2
2023-09-27;1.215;1.21302;1.21459;1.21327;1.21439;1.21459;True;1.21533;1.21102;1.21478;1.21129;1.21388;15:10:00;11:35:00;True;True;False;True;True;True;False;;2023-09-27 10:55:00-04:00;10:55:00;10:30 - 11:00;False;True;False;13:35:00;11:30:00;1.21102;1.21501;True;True;13:30 - 14:00;11:30 - 12:00;0.6;0.7;1.1;-1.0;0.4;-1.0;1.0
2023-09-28;1.22056;1.21823;1.22044;1.21838;1.21949;1.21981;True;1.22246;1.21863;1.22228;1.21888;1.21994;11:50:00;11:50:00;True;False;True;False;True;True;True;2023-09-28 11:20:00-04:00;;11:20:00;11:00 - 11:30;True;True;False;11:50:00;11:25:00;1.22246;1.22015;True;True;11:30 - 12:00;11:00 - 11:30;0.5;0.6;1.8;0.1;0.7;1.8;0.8
2023-09-29;1.22424;1.218;1.22407;1.21806;1.22407;1.21835;False;1.22188;1.2183;1.22165;1.21835;1.21995;12:30:00;11:45:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;;;;;False;False;No breakout;No breakout;0.9;0.0;0.6;0.0;0.3;;
2023-10-02;1.2149;1.21221;1.21446;1.21227;1.21411;1.21375;False;1.2146;1.20917;1.21439;1.20926;1.20926;11:30:00;11:30:00;False;True;False;True;True;True;True;;2023-10-02 10:45:00-04:00;10:45:00;10:30 - 11:00;False;True;True;15:55:00;11:30:00;1.20917;1.2146;True;True;15:30 - 16:00;11:30 - 12:00;0.7;0.5;0.8;-1.1;-1.0;-1.1;0.8
2023-10-03;1.21017;1.20531;1.20996;1.20585;1.20793;1.20774;False;1.20963;1.20613;1.2093;1.20636;1.20781;10:35:00;13:25:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;;;;;False;False;No breakout;No breakout;0.5;0.5;0.8;0.1;0.5;;
2023-10-04;1.21706;1.21061;1.21688;1.21096;1.21629;1.21096;False;1.21664;1.21068;1.21647;1.21076;1.21504;12:30:00;12:35:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;;;;;False;False;No breakout;No breakout;0.8;0.0;0.9;0.0;0.6;;
2023-10-05;1.21601;1.21389;1.21546;1.21419;1.21501;1.21546;True;1.21958;1.21404;1.2195;1.21426;1.21936;15:55:00;15:50:00;True;False;True;False;True;True;True;2023-10-05 11:20:00-04:00;;11:20:00;11:00 - 11:30;True;True;True;15:55:00;11:25:00;1.21958;1.21581;True;False;15:30 - 16:00;11:00 - 11:30;0.5;0.7;2.6;0.0;2.5;2.6;0.9
2023-10-06;1.21905;1.21368;1.21874;1.21398;1.21555;1.21874;True;1.22611;1.21836;1.22566;1.21874;1.2242;11:40:00;14:35:00;True;False;True;False;True;True;True;2023-10-06 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;True;11:40:00;10:55:00;1.22611;1.21836;True;True;11:30 - 12:00;10:30 - 11:00;0.3;0.9;2.3;0.8;1.9;2.3;0.8
2023-10-09;1.22172;1.22021;1.22142;1.22023;1.22023;1.22085;True;1.22427;1.21962;1.22424;1.21973;1.22424;15:55:00;15:55:00;True;True;True;True;True;False;False;2023-10-09 11:05:00-04:00;2023-10-09 12:10:00-04:00;11:05:00;11:00 - 11:30;True;False;True;15:55:00;12:55:00;1.22427;1.21962;True;True;15:30 - 16:00;12:30 - 13:00;0.0;0.4;2.6;-0.3;2.6;2.6;-0.3
2023-10-10;1.22664;1.22402;1.22649;1.22435;1.22471;1.22604;True;1.22916;1.22502;1.22908;1.22515;1.22846;12:45:00;12:50:00;True;False;True;False;True;True;True;2023-10-10 11:30:00-04:00;;11:30:00;11:30 - 12:00;True;True;True;12:45:00;11:35:00;1.22916;1.22694;False;False;12:30 - 13:00;11:30 - 12:00;0.2;0.7;1.9;0.3;1.6;1.9;1.1
2023-10-11;1.23374;1.23034;1.23305;1.23066;1.23163;1.23164;True;1.23186;1.22752;1.23164;1.22766;1.23085;10:40:00;10:40:00;False;True;False;True;True;True;True;;2023-10-11 11:05:00-04:00;11:05:00;11:00 - 11:30;False;True;False;13:45:00;11:35:00;1.22752;1.2309;True;True;13:30 - 14:00;11:30 - 12:00;0.3;0.3;0.4;-0.8;0.1;-0.8;0.1
2023-10-12;1.22543;1.22268;1.22521;1.22329;1.22521;1.22353;False;1.22354;1.21713;1.22353;1.21731;1.21756;10:30:00;10:35:00;False;True;False;True;True;True;True;;2023-10-12 10:40:00-04:00;10:40:00;10:30 - 11:00;False;True;True;15:00:00;10:45:00;1.21713;1.22246;False;False;15:00 - 15:30;10:30 - 11:00;0.9;0.3;0.3;-2.0;-1.8;-2.0;0.0
2023-10-13;1.21769;1.21401;1.21742;1.21403;1.21667;1.21403;False;1.21573;1.21223;1.21517;1.21231;1.214;10:35:00;10:35:00;False;True;False;True;True;True;True;;2023-10-13 10:50:00-04:00;10:50:00;10:30 - 11:00;False;True;True;13:15:00;12:15:00;1.21223;1.21463;True;True;13:00 - 13:30;12:00 - 12:30;0.7;0.0;0.4;-0.4;0.0;-0.4;0.1
2023-10-16;1.21729;1.21532;1.21714;1.21563;1.21707;1.21714;True;1.22194;1.21702;1.22185;1.21714;1.22172;15:25:00;15:25:00;True;False;True;False;True;True;True;2023-10-16 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;True;15:25:00;10:35:00;1.22194;1.21747;False;False;15:00 - 15:30;10:30 - 11:00;0.8;0.9;3.3;0.8;3.2;3.3;1.0
2023-10-17;1.21946;1.21469;1.21872;1.21484;1.21508;1.21872;True;1.22117;1.21708;1.22094;1.21714;1.21845;12:25:00;12:25:00;True;False;True;False;True;True;True;2023-10-17 11:10:00-04:00;;11:10:00;11:00 - 11:30;True;True;False;12:25:00;11:30:00;1.22117;1.21872;True;False;12:00 - 12:30;11:30 - 12:00;0.0;0.8;1.3;0.5;0.7;1.3;0.8
2023-10-18;1.21783;1.21543;1.21763;1.21545;1.21701;1.21545;False;1.21764;1.21368;1.21718;1.2138;1.214;13:15:00;13:25:00;False;True;False;True;True;True;True;;2023-10-18 10:30:00-04:00;10:30:00;10:30 - 11:00;False;True;True;15:05:00;13:15:00;1.21368;1.21764;True;True;15:00 - 15:30;13:00 - 13:30;0.6;0.0;0.9;-0.7;-0.5;-0.7;0.9
2023-10-19;1.21623;1.214;1.21538;1.21428;1.21428;1.2149;True;1.21917;1.21247;1.21818;1.2139;1.21488;12:00:00;12:20:00;True;True;True;True;True;False;False;2023-10-19 12:00:00-04:00;2023-10-19 12:35:00-04:00;12:00:00;12:00 - 12:30;True;False;False;12:20:00;12:10:00;1.21906;1.21676;False;False;12:00 - 12:30;12:00 - 12:30;0.1;0.4;2.3;-0.6;0.3;2.2;1.2
